"HSSD500","SCANNET200","SCANNET200_proximity","NYU40","NYU40_proximity","MPCAT40","MPCAT40_proximity","COCO80","COCO80_proximity"
"classes (477): air_conditioner | air_hockey_table | alarm_clock | aquarium | armchair | armoire | armrest | ashcan | ashtray | audio_system | bag | balcony | ball | ball_chair | bandsaw | bar | bar_stool | barbecue | barrow | base_cabinet | basket | bath_mat | bath_towel | bathrobe | bathroom_scale | bathtub | beam | beanbag_chair | bed | bedclothes | bench | bench_grinder | bi-fold_door | bicycle | bicycle_rack | bidet | binder | birdcage | birdhouse | blackboard | blanket | blanket_chest | blender | board_game | bolster | book | bookcase | bookend | bottle | bottle_opener | bouquet | bowl | bread-bin | bridge | broom | bucket | buffet | bulletin_board | bunk_bed | butter_dish | cabin | cabinet | caddy | cafeteria_tray | cage | cake | cake_stand | camcorder | camera | camp_chair | candelabrum | candle | candlestick | canister | car | carafe | casserole | cat | ceiling_fan | ceiling_lamp | cellular_telephone | chain_saw | chair | chaise_longue | chandelier | chess | chest | chest_of_drawers | chicken | china_cabinet | chopping_board | christmas_stocking | christmas_tree | clock | clothes_dryer | clothes_tree | clothing_rack | club_chair | coaster | coatrack | cocktail_shaker | coffee_maker | coffee_table | coffeepot | colander | computer_screen | computer_work_area | conference_table | console_table | cooker | cookie_sheet | countertop | cradle | crate | credenza | crib | cruet | cup | curtain | curtain_rod | cushion | dartboard | darts | daybed | desk | desk_calendar | desk_organizer | dining_area | dining_table | dish_rack | dishwasher | dog | dollhouse | door | doorbell | doormat | double_bed | double_door | drawer | drawer_unit | dresser | dressing_table | drum | drum_set | dryer | drying_rack | dvd_player | eames_chair | earphone | easel | easy_chair | electric_fan | electric_frying_pan | elevator | elevator_door | end_table | espresso_maker | exercise_bike | fan | faucet | fence | file | fire_extinguisher | firepit | fireplace | flat_bench | floor_lamp | floor_mirror | flower | flower_in_vase | folding_chair | foosball_table | football | footstool | frying_pan | game_table | garage_door | gate | gazebo | gift_box | glass | globe | grab_bar | grandfather_clock | greenhouse | greeting_card | guitar | gym_equipment | hall_tree | hammock | hamper | hand_glass | handcart | handle | hanging_cabinet | hatbox | headboard | heating_system | hedge | highchair | hobby | hook | horse | hot_tub | hourglass | interior_barn_door | ironing_board | jar | jewelry_box | jug | kettle | king_bed | kitchen_appliance | kitchen_cabinet | kitchen_island | kitchen_scale | kitchen_timer | knife | knocker | l-shaped_couch | ladder | ladder_bookcase | lamp | lantern | laptop | laundry_bag | lawn_mower | lectern | letter | loudspeaker | luggage_rack | magazine | magazine_rack | magnet | mailbox | makeup_mirror | mantel | mantel_clock | mat | mattress | measuring_cup | media_player | medicine_chest | microphone | microwave | mirror | mixer | mixing_bowl | mobile | monitor | motorcycle | mousepad | music_stand | napkin | net | nightstand | notebook | notepad | ottoman | oven | overnighter | pan | paper_organizer | paper_towel | paperweight | parrot | pathway_light | pedestal_sink | pendant_lamp | penguin | pepper_mill | person | pestle | pet_bed | pet_bowl | pet_house | piano | picnic_rug | picnic_table | picture_frame | piggy_bank | pinball_machine | pitcher | place_mat | place_setting | plant | plant_stand | planter | plate | play_area | playhouse | playpen | plaything | plush_toy | pond | pool_table | postbox | poster | potholder | potted_plant | power_saw | printer | projector | punch_bowl | punching_bag | purse | quilt | rack | radiator | radio_receiver | railing | range_hood | reamer | recliner | record_player | refrigerator | revolving_door | roaster | rock | rocking_chair | roof | room_divider | round_daybed | rug | safe | salver | saucepan | sauna | scooter | screen | sculpture | seat_cushion | serving_cart | sewing_machine | shed | sheep | shelving | shoe | shoe_rack | shoebox | shopping_bag | shot_glass | shower_caddy | shower_curtain | shower_door | shower_faucet | shower_pan | shower_stall | showerhead | side_table | single_bed | sink | sink_cabinet | sink_stand | skateboard | slide | sliding_door | smoke_detector | soap | soap_dish | soap_dispenser | soccer_ball | socket | soda_can | sofa | spade | spectacles | spice_holder | spice_rack | spicemill | spoon | stairway | step_ladder | step_stool | stool | storage_bench | storage_box | stove | straight_chair | strainer | streetlight | string_lights | subwoofer | sugar_bowl | surfboard | swimming_pool | swing | swing_bench | swing_chair | switch | swivel_chair | table | table-tennis_table | table_lamp | table_mirror | table_runner | tablet_computer | tapestry | teapot | telephone | telescope | television_receiver | tent | thermos | throw | throw_pillow | timer | tissue_box | toaster | toaster_oven | toilet | toilet_bag | toilet_brush | toilet_flush_plate | toilet_paper_holder | toilet_tissue | toiletry | towel | towel_rack | towel_rail | towel_ring | toy_box | track_lighting | trailer | trampoline | tray | treadmill | tree | trellis | trunk | tumbler | tureen | tv_stand | umbrella | umbrella_stand | urinal | utensil | vacuum | valve | vase | video_game_console | videodisk | wall_art | wall_calendar | wall_clock | wall_decor | wall_hook | wall_hook_rack | wall_lamp | wall_mirror | wall_organizer | wall_panel | wall_shelf | wall_shelving | wall_sign | wall_socket | wall_sticker | wall_unit | wardrobe | washbasin | washer | water_scooter | watering_can | weight | whiteboard | wind_chime | window | window_blind | window_curtain | window_shade | wine_bottle | wine_bucket | wine_rack | wineglass | wok | workbench | wreath","classes (200): alarm clock | armchair | backpack | bag | ball | bar | basket | bathroom cabinet | bathroom counter | bathroom stall | bathroom stall door | bathroom vanity | bathtub | bed | bench | bicycle | bin | blackboard | blanket | blinds | board | book | bookshelf | bottle | bowl | box | broom | bucket | bulletin board | cabinet | calendar | candle | cart | case of water bottles | cd case | ceiling | ceiling light | chair | clock | closet | closet door | closet rod | closet wall | clothes | clothes dryer | coat rack | coffee kettle | coffee maker | coffee table | column | computer tower | container | copier | couch | counter | crate | cup | curtain | cushion | decoration | desk | dining table | dish rack | dishwasher | divider | door | doorframe | dresser | dumbbell | dustpan | end table | fan | file cabinet | fire alarm | fire extinguisher | fireplace | floor | folded chair | furniture | guitar | guitar case | hair dryer | handicap bar | hat | headphones | ironing board | jacket | keyboard | keyboard piano | kitchen cabinet | kitchen counter | ladder | lamp | laptop | laundry basket | laundry detergent | laundry hamper | ledge | light | light switch | luggage | machine | mailbox | mat | mattress | microwave | mini fridge | mirror | monitor | mouse | music stand | nightstand | object | office chair | ottoman | oven | paper | paper bag | paper cutter | paper towel dispenser | paper towel roll | person | piano | picture | pillar | pillow | pipe | plant | plate | plunger | poster | potted plant | power outlet | power strip | printer | projector | projector screen | purse | rack | radiator | rail | range hood | recycling bin | refrigerator | scale | seat | shelf | shoe | shower | shower curtain | shower curtain rod | shower door | shower floor | shower head | shower wall | sign | sink | soap dish | soap dispenser | sofa chair | speaker | stair rail | stairs | stand | stool | storage bin | storage container | storage organizer | stove | structure | stuffed animal | suitcase | table | telephone | tissue box | toaster | toaster oven | toilet | toilet paper | toilet paper dispenser | toilet paper holder | toilet seat cover dispenser | towel | trash bin | trash can | tray | tube | tv | tv stand | vacuum cleaner | vent | wall | wardrobe | washing machine | water bottle | water cooler | water pitcher | whiteboard | window | windowsill","","classes (39): bag | bathtub | bed | blinds | books | bookshelf | box | cabinet | ceiling | chair | clothes | counter | curtain | desk | door | dresser | floor | floor_mat | lamp | mirror | night_stand | otherfurniture | otherprop | otherstructure | paper | picture | pillow | refridgerator | shelves | shower_curtain | sink | sofa | table | television | toilet | towel | wall | whiteboardperson | window","","classes (40): appliances | bathtub | beam | bed | blinds | board_panel | cabinet | ceiling | chair | chest_of_drawers | clothes | column | counter | curtain | cushion | door | fireplace | floor | furniture | gym_equipment | lighting | mirror | misc | objects | picture | plant | railing | seating | shelving | shower | sink | sofa | stairs | stool | table | toilet | towel | tv_monitor | wall | window","","classes (80): person | bicycle | car | motorcycle | airplane | bus | train | truck | boat | traffic light | fire hydrant | stop sign | parking meter | bench | bird | cat | dog | horse | sheep | cow | elephant | bear | zebra | giraffe | backpack | umbrella | handbag | tie | suitcase | frisbee | skis | snowboard | sports ball | kite | baseball bat | baseball glove | skateboard | surfboard | tennis racket | bottle | wine glass | cup | fork | knife | spoon | bowl | banana | apple | sandwich | orange | broccoli | carrot | hot dog | pizza | donut | cake | chair | couch | potted plant | bed | dining table | toilet | tv | laptop | mouse | remote | keyboard | cell phone | microwave | oven | toaster | sink | refrigerator | book | clock | vase | scissors | teddy bear | hair drier | toothbrush",""
"","","","","","","","",""
"air_conditioner","vent","0.8838","television","0.861","appliances","0.8683","tv","0.8629"
"air_hockey_table","coffee table","0.775","table","0.7619","table","0.7619","dining table","0.7509"
"alarm_clock","alarm clock","1.0","bed","0.8524","bed","0.8524","clock","0.9042"
"aquarium","machine","0.8303","window","0.8234","window","0.8234","car","0.8244"
"armchair","armchair","1.0","chair","0.9634","chair","0.9634","chair","0.9634"
"armoire","wardrobe","0.8994","cabinet","0.8791","cabinet","0.8791","refrigerator","0.8304"
"armrest","seat","0.9111","chair","0.8711","seating","0.8857","chair","0.8711"
"ashcan","object","0.9079","box","0.8865","misc","0.9055","person","0.8984"
"ashtray","bowl","0.8703","table","0.8322","table","0.8322","bowl","0.8703"
"audio_system","speaker","0.9104","television","0.8685","appliances","0.8589","tv","0.8733"
"bag","bag","1.0","bag","1.0","clothes","0.8773","handbag","0.9412"
"balcony","windowsill","0.8421","window","0.8257","railing","0.8629","bench","0.8033"
"ball","ball","1.0","box","0.8582","misc","0.857","sports ball","0.971"
"ball_chair","chair","0.8882","chair","0.8882","chair","0.8882","chair","0.8882"
"bandsaw","machine","0.8036","television","0.7731","gym_equipment","0.8114","chair","0.7699"
"bar","bar","1.0","otherfurniture","0.8766","misc","0.8765","person","0.8745"
"bar_stool","stool","0.9454","chair","0.8834","stool","0.9454","chair","0.8834"
"barbecue","bar","0.8554","picture","0.8428","appliances","0.8576","person","0.8466"
"barrow","cart","0.8637","chair","0.8254","chair","0.8254","bowl","0.846"
"base_cabinet","cabinet","0.9523","cabinet","0.9523","cabinet","0.9523","tv","0.8406"
"basket","basket","1.0","box","0.859","chair","0.8371","bowl","0.873"
"bath_mat","towel","0.8579","floor_mat","0.8964","towel","0.8579","bed","0.789"
"bath_towel","towel","0.9638","towel","0.9638","towel","0.9638","tie","0.7911"
"bathrobe","towel","0.8365","towel","0.8365","towel","0.8365","person","0.7951"
"bathroom_scale","scale","0.9121","toilet","0.844","toilet","0.844","toilet","0.844"
"bathtub","bathtub","1.0","bathtub","1.0","bathtub","1.0","toilet","0.8779"
"beam","light","0.8624","otherstructure","0.837","beam","1.0","baseball bat","0.8389"
"beanbag_chair","cushion","0.8579","pillow","0.8381","cushion","0.8579","bed","0.8264"
"bed","bed","1.0","bed","1.0","bed","1.0","bed","1.0"
"bedclothes","bed","0.9255","bed","0.9255","bed","0.9255","bed","0.9255"
"bench","bench","1.0","table","0.8806","seating","0.8911","bench","1.0"
"bench_grinder","machine","0.8169","counter","0.7852","gym_equipment","0.7903","bench","0.7823"
"bi-fold_door","door","0.8336","door","0.8336","door","0.8336","refrigerator","0.7396"
"bicycle","bicycle","1.0","chair","0.8321","objects","0.8437","bicycle","1.0"
"bicycle_rack","bicycle","0.8987","otherstructure","0.7916","railing","0.8121","bicycle","0.8987"
"bidet","toilet","0.8924","toilet","0.8924","toilet","0.8924","toilet","0.8924"
"binder","book","0.8565","books","0.8447","picture","0.8348","book","0.8565"
"birdcage","structure","0.8144","picture","0.7938","picture","0.7938","bird","0.8457"
"birdhouse","box","0.8571","box","0.8571","picture","0.8179","bird","0.8828"
"blackboard","blackboard","1.0","whiteboardperson","0.7751","board_panel","0.8067","tv","0.7361"
"blanket","blanket","1.0","towel","0.8965","towel","0.8965","bed","0.8553"
"blanket_chest","dresser","0.8296","dresser","0.8296","chest_of_drawers","0.8444","bed","0.8001"
